County,Number of Issuers,Issuers
"Yalobusha, MS",3,"['Humana, Inc.', 'Ambetter from Magnolia Health', 'UnitedHealthcare']"
"DeWitt, TX",1,['Blue Cross and Blue Shield of Texas']
"San Patricio, TX",3,"['UnitedHealthcare', 'Blue Cross and Blue Shield of Texas', 'Humana, Inc.']"
"Putnam, TN",1,['BlueCross BlueShield of Tennessee']
"York, NE",2,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.']"
"Bradley, AR",4,"['Arkansas Blue Cross and Blue Shield', 'Ambetter of Arkansas', 'QualChoice Health Insurance', 'QC Life and Health']"
"McKean, PA",4,"['HealthAmerica Pennsylvania, Inc.', 'Highmark Inc.', 'Highmark Health Insurance Company', 'UPMC Health Options, Inc.']"
"Richmond city, VA",3,"['Coventry Health Care of Virginia, Inc', 'Optima Health', 'HealthKeepers, Inc.']"
"Anderson, TN",2,"['Humana, Inc.', 'BlueCross BlueShield of Tennessee']"
"Roberts, TX",2,"['FirstCare Health Plans', 'Blue Cross and Blue Shield of Texas']"
"Green, WI",5,"['Dean Health Plan', 'Unity Health Insurance', 'UnitedHealthcare', 'MercyCare Health Plans', 'Group Health Cooperative- SCW']"
"Walton, FL",3,"['UnitedHealthcare', 'Florida Blue HMO (a BlueCross BlueShield FL company)', 'Florida Blue (BlueCross BlueShield FL)']"
"St. Croix, WI",1,['Medica']
"Lee, TX",6,"['Ambetter from Superior Health Plan', 'Scott and White Health Plan', 'Blue Cross and Blue Shield of Texas', 'Aetna', 'FirstCare Health Plans', 'Sendero Health Plans']"
"San Saba, TX",3,"['Blue Cross and Blue Shield of Texas', 'Scott and White Health Plan', 'FirstCare Health Plans']"
"Anson, NC",3,"['Coventry Health Care of the Carolinas, Inc.', 'UnitedHealthcare', 'Blue Cross and Blue Shield of NC']"
"King George, VA",3,"['HealthKeepers, Inc.', 'Kaiser Permanente', 'Optima Health']"
"Harrisonburg city, VA",2,"['Optima Health', 'HealthKeepers, Inc.']"
"Fort Bend, TX",6,"['UnitedHealthcare', 'Blue Cross and Blue Shield of Texas', 'Humana, Inc.', 'Aetna', 'Community Health Choice', 'Cigna Healthcare']"
"Clay, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Bedford, VA",4,"['Optima Health', 'Aetna Life Insurance Company', 'HealthKeepers, Inc.', 'Piedmont Community HealthCare']"
"Powell, MT",3,"['Montana Health CO-OP', 'PacificSource Health Plans', 'Blue Cross and Blue Shield of Montana']"
"Mason, MI",4,"['Consumers Mutual Insurance of Michigan', 'Priority Health', 'Blue Care Network of Michigan', 'Blue Cross Blue Shield of Michigan']"
"Pulaski, IL",4,"['Land of Lincoln Mutual Health Insurance Company', 'Blue Cross and Blue Shield of Illinois', 'Health Alliance Medical Plans, Inc.', 'Coventry Health Care']"
"Woodson, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.', 'Coventry Health and Life']"
"Putnam, IL",5,"['Health Alliance Medical Plans, Inc.', 'Blue Cross and Blue Shield of Illinois', 'Land of Lincoln Mutual Health Insurance Company', 'Humana, Inc.', 'Coventry Health Care']"
"Lenawee, MI",4,"['Blue Care Network of Michigan', 'Priority Health', 'Blue Cross Blue Shield of Michigan', 'Consumers Mutual Insurance of Michigan']"
"Cimarron, OK",1,['Blue Cross and Blue Shield of Oklahoma']
"Jefferson, NE",2,"['Coventry Health Care of Nebraska Inc.', 'Blue Cross and Blue Shield of Nebraska']"
"Pope, IL",4,"['Health Alliance Medical Plans, Inc.', 'Coventry Health Care', 'Land of Lincoln Mutual Health Insurance Company', 'Blue Cross and Blue Shield of Illinois']"
"Franklin, IA",1,['Coventry Health Care of Iowa Inc.']
"Dixie, FL",3,"['UnitedHealthcare', 'Florida Blue HMO (a BlueCross BlueShield FL company)', 'Florida Blue (BlueCross BlueShield FL)']"
"Cumberland, ME",3,"['Anthem Blue Cross and Blue Shield', 'Harvard Pilgrim  Health Care Inc.', 'Maine Community Health Options']"
"Marion, TX",1,['Blue Cross and Blue Shield of Texas']
"Franklin, IN",3,"['CareSource', 'UnitedHealthcare', 'Anthem Blue Cross and Blue Shield']"
"Montgomery, TN",3,"['Humana, Inc.', 'Cigna Healthcare', 'BlueCross BlueShield of Tennessee']"
"Franklin, IL",4,"['Blue Cross and Blue Shield of Illinois', 'Land of Lincoln Mutual Health Insurance Company', 'Coventry Health Care', 'Health Alliance Medical Plans, Inc.']"
"Williamson, IL",4,"['Land of Lincoln Mutual Health Insurance Company', 'Coventry Health Care', 'Blue Cross and Blue Shield of Illinois', 'Health Alliance Medical Plans, Inc.']"
"Montgomery, TX",6,"['Humana, Inc.', 'Aetna', 'Community Health Choice', 'Cigna Healthcare', 'UnitedHealthcare', 'Blue Cross and Blue Shield of Texas']"
"Marion, TN",2,"['BlueCross BlueShield of Tennessee', 'Cigna Healthcare']"
"Churchill, NV",2,"['HMO Colorado Inc dba HMO NV(Anthem BCBS)', 'Nevada Health CO-OP']"
"Pender, NC",2,"['UnitedHealthcare', 'Blue Cross and Blue Shield of NC']"
"Pima, AZ",10,"['University of Arizona Health Plans - University Healthcare Marketplace', 'United Health One', 'MERITUS MUTUAL HEALTH PARTNERS', 'Blue Cross Blue Shield of Arizona, Inc.', 'Health Choice Insurance Co.', 'Humana, Inc.', 'Meritus Health Partners', 'Health Net', 'Aetna', 'Cigna Healthcare']"
"Gloucester, NJ",4,"['UnitedHealthcare Oxford', 'Horizon Blue Cross Blue Shield of New Jersey', 'Health Republic Insurance of New Jersey', 'AmeriHealth New Jersey']"
"Champaign, OH",4,"['InHealth Mutual', 'MedMutual', 'HealthSpan', 'Anthem Blue Cross and Blue Shield']"
"Sabine, TX",1,['Blue Cross and Blue Shield of Texas']
"Powhatan, VA",3,"['Optima Health', 'HealthKeepers, Inc.', 'Coventry Health Care of Virginia, Inc']"
"Harding, SD",3,"['Avera Health Plans, Inc.', 'Sanford Health Plan', 'DAKOTACARE']"
"Lawrence, TN",1,['BlueCross BlueShield of Tennessee']
"Juniata, PA",7,"['Highmark Health Insurance Company', 'HealthAmerica Pennsylvania, Inc.', 'Geisinger Health Plan', 'Highmark Inc.', 'Geisinger Choice', 'Keystone Health Plan Central, A Capital BlueCross Company', 'Capital BlueCross']"
"Clark, SD",3,"['Avera Health Plans, Inc.', 'DAKOTACARE', 'Sanford Health Plan']"
"Lake, SD",3,"['Avera Health Plans, Inc.', 'DAKOTACARE', 'Sanford Health Plan']"
"Liberty, FL",2,"['UnitedHealthcare', 'Florida Blue (BlueCross BlueShield FL)']"
"Dickinson, IA",2,"['Coventry Health Care of Iowa Inc.', 'Avera Health Plans, Inc.']"
"Monroe, OH",4,"['Aetna', 'Anthem Blue Cross and Blue Shield', 'MedMutual', 'InHealth Mutual']"
"Mitchell, IA",1,['Coventry Health Care of Iowa Inc.']
"Richardson, NE",2,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.']"
"Gilliam, OR",7,"[""Oregon's Health CO-OP"", 'Providence Health Plan', 'PacificSource Health Plans', 'LifeWise Health Plan of Oregon', 'Moda Health Plan, Inc.', 'Health Republic', 'BridgeSpan Health Company']"
"Northumberland, VA",3,"['HealthKeepers, Inc.', 'Aetna Life Insurance Company', 'Optima Health']"
"Dooly, GA",2,"['UnitedHealthcare', 'Blue Cross Blue Shield Healthcare Plan of Georgia']"
"Dinwiddie, VA",2,"['HealthKeepers, Inc.', 'Optima Health']"
"Massac, IL",4,"['Land of Lincoln Mutual Health Insurance Company', 'Health Alliance Medical Plans, Inc.', 'Blue Cross and Blue Shield of Illinois', 'Coventry Health Care']"
"Linn, KS",3,"['Coventry Health and Life', 'BlueCross BlueShield Kansas Solutions, Inc.', 'Blue Cross and Blue Shield of Kansas, Inc.']"
"Candler, GA",3,"['Humana, Inc.', 'UnitedHealthcare', 'Blue Cross Blue Shield Healthcare Plan of Georgia']"
"Sarpy, NE",2,"['Coventry Health Care of Nebraska Inc.', 'Blue Cross and Blue Shield of Nebraska']"
"Warren, VA",2,"['Optima Health', 'HealthKeepers, Inc.']"
"Dubuque, IA",1,['Coventry Health Care of Iowa Inc.']
"Iron, MO",2,"['Coventry Health Care', 'Anthem Blue Cross and Blue Shield']"
"Iron, MI",2,"['Blue Cross Blue Shield of Michigan', 'Consumers Mutual Insurance of Michigan']"
"Granville, NC",3,"['Coventry Health Care of the Carolinas, Inc.', 'UnitedHealthcare', 'Blue Cross and Blue Shield of NC']"
"Bon Homme, SD",3,"['Avera Health Plans, Inc.', 'Sanford Health Plan', 'DAKOTACARE']"
"Schley, GA",2,"['Blue Cross Blue Shield Healthcare Plan of Georgia', 'UnitedHealthcare']"
"Coffee, AL",2,"['UnitedHealthcare', 'Blue Cross and Blue Shield of Alabama']"
"White, TN",1,['BlueCross BlueShield of Tennessee']
"Gladwin, MI",5,"['Blue Care Network of Michigan', 'HAP', 'Priority Health', 'Blue Cross Blue Shield of Michigan', 'Consumers Mutual Insurance of Michigan']"
"Chesapeake city, VA",2,"['Optima Health', 'HealthKeepers, Inc.']"
"Crawford, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life', 'BlueCross BlueShield Kansas Solutions, Inc.']"
"Van Buren, AR",4,"['QC Life and Health', 'Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance', 'Ambetter of Arkansas']"
"Highland, OH",5,"['MedMutual', 'InHealth Mutual', 'HealthSpan', 'CareSource', 'Anthem Blue Cross and Blue Shield']"
"Morgan, MO",3,"['Anthem Blue Cross and Blue Shield', 'UnitedHealthcare', 'Coventry Health Care']"
"Fulton, AR",4,"['Ambetter of Arkansas', 'QC Life and Health', 'Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance']"
"Spencer, IN",2,"['Anthem Blue Cross and Blue Shield', 'UnitedHealthcare']"
"Elkhart, IN",5,"['PHP', 'UnitedHealthcare', 'Anthem Blue Cross and Blue Shield', 'Ambetter from MHS', 'MDwise Marketplace']"
"Bayfield, WI",2,"['Security Health Plan', 'Medica']"
"Appanoose, IA",1,['Coventry Health Care of Iowa Inc.']
"Dawson, MT",3,"['Blue Cross and Blue Shield of Montana', 'PacificSource Health Plans', 'Montana Health CO-OP']"
"Shelby, TX",1,['Blue Cross and Blue Shield of Texas']
"Houston, AL",2,"['Blue Cross and Blue Shield of Alabama', 'UnitedHealthcare']"
"Wilkinson, MS",2,"['Humana, Inc.', 'UnitedHealthcare']"
"Harper, KS",4,"['Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health Care Of Kansas Inc', 'BlueCross BlueShield Kansas Solutions, Inc.']"
"La Crosse, WI",4,"['Anthem Blue Cross and Blue Shield', 'UnitedHealthcare', 'Gundersen Health Plan, Inc.', 'Health Tradition Health Plan']"
"Fulton, OH",7,"['Anthem Blue Cross and Blue Shield', 'CareSource', 'Aetna', 'Paramount Insurance Company', 'HealthSpan', 'InHealth Mutual', 'MedMutual']"
"Fergus, MT",3,"['PacificSource Health Plans', 'Blue Cross and Blue Shield of Montana', 'Montana Health CO-OP']"
"Eddy, NM",5,"['CHRISTUS Health Plan NM', 'Blue Cross and Blue Shield of New Mexico', 'New Mexico Health Connections', 'Presbyterian Health Plan', 'Molina Health Care of New Mexico, Inc.']"
"Missoula, MT",3,"['Blue Cross and Blue Shield of Montana', 'PacificSource Health Plans', 'Montana Health CO-OP']"
"Eddy, ND",3,"['Medica', 'Blue Cross Blue Shield of North Dakota', 'Sanford Health Plan']"
"Pike, GA",3,"['Kaiser Permanente', 'Blue Cross Blue Shield Healthcare Plan of Georgia', 'UnitedHealthcare']"
"Sumner, TN",3,"['Humana, Inc.', 'BlueCross BlueShield of Tennessee', 'Cigna Healthcare']"
"Adair, OK",2,"['Blue Cross and Blue Shield of Oklahoma', 'GlobalHealth']"
"Clinch, GA",3,"['UnitedHealthcare', 'Coventry Health Care of Georgia, Inc.', 'Blue Cross Blue Shield Healthcare Plan of Georgia']"
"Osceola, MI",4,"['Priority Health', 'Blue Care Network of Michigan', 'Blue Cross Blue Shield of Michigan', 'Consumers Mutual Insurance of Michigan']"
"Burke, NC",3,"['Blue Cross and Blue Shield of NC', 'Coventry Health Care of the Carolinas, Inc.', 'UnitedHealthcare']"
"Burke, ND",2,"['Sanford Health Plan', 'Blue Cross Blue Shield of North Dakota']"
"Caldwell, LA",3,"['Vantage Health Plan', 'Blue Cross Blue Shield of Louisiana', 'UnitedHealthcare']"
"Plaquemines, LA",4,"['Vantage Health Plan', 'HMO Louisiana', 'Blue Cross Blue Shield of Louisiana', 'UnitedHealthcare']"
"Martinsville city, VA",3,"['HealthKeepers, Inc.', 'Coventry Health Care of Virginia, Inc', 'Optima Health']"
"Bucks, PA",3,"['Aetna', 'UnitedHealthcare', 'Independence Blue Cross']"
"Cameron, PA",6,"['UPMC Health Options, Inc.', 'HealthAmerica Pennsylvania, Inc.', 'Highmark Inc.', 'Geisinger Health Plan', 'Highmark Health Insurance Company', 'Geisinger Choice']"
"Carroll, NH",4,"['Community Health Options', 'Harvard Pilgrim Health Care of NE', 'Anthem Blue Cross and Blue Shield', 'Minuteman Health, Inc']"
"Yukon-Koyukuk Census, AK",2,"['Premera Blue Cross Blue Shield of Alaska', 'Moda Health']"
"Crenshaw, AL",2,"['UnitedHealthcare', 'Blue Cross and Blue Shield of Alabama']"
"Smith, TX",1,['Blue Cross and Blue Shield of Texas']
"Marion, GA",5,"['Coventry Health Care of Georgia, Inc.', 'Blue Cross Blue Shield Healthcare Plan of Georgia', 'Ambetter from Peach State Health Plan', 'Humana, Inc.', 'UnitedHealthcare']"
"Sullivan, IN",3,"['Anthem Blue Cross and Blue Shield', 'MDwise Marketplace', 'UnitedHealthcare']"
"Cheboygan, MI",5,"['Blue Care Network of Michigan', 'Consumers Mutual Insurance of Michigan', 'Blue Cross Blue Shield of Michigan', 'McLaren Health Plan', 'Priority Health']"
"Smith, TN",1,['BlueCross BlueShield of Tennessee']
"Lane, OR",8,"['BridgeSpan Health Company', ""Oregon's Health CO-OP"", 'Trillium Community Health Plan', 'Health Republic', 'LifeWise Health Plan of Oregon', 'PacificSource Health Plans', 'Moda Health Plan, Inc.', 'Providence Health Plan']"
"Ellis, OK",1,['Blue Cross and Blue Shield of Oklahoma']
"Robertson, TN",3,"['BlueCross BlueShield of Tennessee', 'Humana, Inc.', 'Cigna Healthcare']"
"Milam, TX",3,"['Blue Cross and Blue Shield of Texas', 'FirstCare Health Plans', 'Scott and White Health Plan']"
"Holmes, OH",4,"['InHealth Mutual', 'Anthem Blue Cross and Blue Shield', 'MedMutual', 'SummaCare Inc']"
"Rhea, TN",2,"['BlueCross BlueShield of Tennessee', 'Cigna Healthcare']"
"Kent, DE",2,"['Aetna', 'Highmark Blue Cross Blue Shield Delaware']"
"Fayette, PA",5,"['UnitedHealthcare', 'Highmark Health Insurance Company', 'Highmark Inc.', 'HealthAmerica Pennsylvania, Inc.', 'UPMC Health Options, Inc.']"
"Kosciusko, IN",5,"['Ambetter from MHS', 'Anthem Blue Cross and Blue Shield', 'MDwise Marketplace', 'UnitedHealthcare', 'PHP']"
"Louisa, VA",3,"['Kaiser Permanente', 'HealthKeepers, Inc.', 'Optima Health']"
"Jackson, TN",1,['BlueCross BlueShield of Tennessee']
"Hutchinson, TX",2,"['Blue Cross and Blue Shield of Texas', 'FirstCare Health Plans']"
"Jackson, TX",1,['Blue Cross and Blue Shield of Texas']
"Grant, WI",4,"['Health Tradition Health Plan', 'Gundersen Health Plan, Inc.', 'Unity Health Insurance', 'Dean Health Plan']"
"Montmorency, MI",5,"['Consumers Mutual Insurance of Michigan', 'Priority Health', 'McLaren Health Plan', 'Blue Care Network of Michigan', 'Blue Cross Blue Shield of Michigan']"
"Dare, NC",1,['Blue Cross and Blue Shield of NC']
"Sequatchie, TN",2,"['Cigna Healthcare', 'BlueCross BlueShield of Tennessee']"
"Choctaw, OK",1,['Blue Cross and Blue Shield of Oklahoma']
"Camden, GA",3,"['Blue Cross Blue Shield Healthcare Plan of Georgia', 'UnitedHealthcare', 'Humana, Inc.']"
"Ingham, MI",6,"['Blue Care Network of Michigan', 'Priority Health', 'Consumers Mutual Insurance of Michigan', 'Blue Cross Blue Shield of Michigan', 'Physicians Health Plan', 'McLaren Health Plan']"
"Pottawattamie, IA",1,['Coventry Health Care of Iowa Inc.']
"Moody, SD",3,"['Avera Health Plans, Inc.', 'Sanford Health Plan', 'DAKOTACARE']"
"Grundy, IA",1,['Coventry Health Care of Iowa Inc.']
"Grundy, IL",4,"['Land of Lincoln Mutual Health Insurance Company', 'Blue Cross and Blue Shield of Illinois', 'Coventry Health Care', 'Health Alliance Medical Plans, Inc.']"
"Forest, WI",3,"['Security Health Plan', 'UnitedHealthcare', 'Molina Marketplace']"
"Huntington, IN",4,"['UnitedHealthcare', 'Anthem Blue Cross and Blue Shield', 'Ambetter from MHS', 'PHP']"
"Prince Edward, VA",3,"['Optima Health', 'HealthKeepers, Inc.', 'Piedmont Community HealthCare']"
"Montague, TX",1,['Blue Cross and Blue Shield of Texas']
"Kimball, NE",2,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.']"
"Ottawa, OK",2,"['Blue Cross and Blue Shield of Oklahoma', 'GlobalHealth']"
"Ottawa, OH",6,"['Aetna', 'InHealth Mutual', 'HealthSpan', 'MedMutual', 'Anthem Blue Cross and Blue Shield', 'Paramount Insurance Company']"
"Donley, TX",2,"['Blue Cross and Blue Shield of Texas', 'FirstCare Health Plans']"
"DeKalb, MO",2,"['Blue Cross and Blue Shield of Kansas City', 'Coventry Health and Life']"
"Travis, TX",8,"['Sendero Health Plans', 'Humana, Inc.', 'Blue Cross and Blue Shield of Texas', 'Cigna Healthcare', 'UnitedHealthcare', 'Ambetter from Superior Health Plan', 'Scott and White Health Plan', 'Aetna']"
"Cass, IA",1,['Coventry Health Care of Iowa Inc.']
"Portage, WI",5,"['Security Health Plan', 'Arise Health Plan', 'Molina Marketplace', 'Anthem Blue Cross and Blue Shield', 'UnitedHealthcare']"
"Porter, IN",4,"['Anthem Blue Cross and Blue Shield', 'UnitedHealthcare', 'MDwise Marketplace', 'Ambetter from MHS']"
"Jackson, FL",2,"['Florida Blue (BlueCross BlueShield FL)', 'UnitedHealthcare']"
"Clark, OH",7,"['Premier Health Plan', 'Anthem Blue Cross and Blue Shield', 'MedMutual', 'Molina Marketplace', 'CareSource', 'InHealth Mutual', 'HealthSpan']"
"Cass, IL",4,"['Coventry Health Care', 'Land of Lincoln Mutual Health Insurance Company', 'Health Alliance Medical Plans, Inc.', 'Blue Cross and Blue Shield of Illinois']"
"Cass, IN",4,"['Anthem Blue Cross and Blue Shield', 'MDwise Marketplace', 'UnitedHealthcare', 'PHP']"
"Stutsman, ND",3,"['Medica', 'Blue Cross Blue Shield of North Dakota', 'Sanford Health Plan']"
"Lake, OR",7,"['Moda Health Plan, Inc.', 'PacificSource Health Plans', 'LifeWise Health Plan of Oregon', ""Oregon's Health CO-OP"", 'Providence Health Plan', 'BridgeSpan Health Company', 'Health Republic']"
"Greenville, SC",4,"[""Consumers' Choice Health Plan"", 'BlueChoice HealthPlan', 'Coventry Health Care of the Carolinas, Inc.', 'BlueCross BlueShield of South Carolina']"
"Leflore, MS",2,"['UnitedHealthcare', 'Humana, Inc.']"
"Caddo, OK",2,"['Blue Cross and Blue Shield of Oklahoma', 'GlobalHealth']"
"Bland, VA",3,"['HealthKeepers, Inc.', 'Optima Health', 'Aetna Life Insurance Company']"
"Union, OH",5,"['MedMutual', 'Aetna', 'InHealth Mutual', 'Anthem Blue Cross and Blue Shield', 'CareSource']"
"Ohio, IN",2,"['Anthem Blue Cross and Blue Shield', 'UnitedHealthcare']"
"Surry, NC",2,"['UnitedHealthcare', 'Blue Cross and Blue Shield of NC']"
"Gray, KS",3,"['Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.']"
"Caroline, VA",3,"['Optima Health', 'Kaiser Permanente', 'HealthKeepers, Inc.']"
"Salem, NJ",4,"['Horizon Blue Cross Blue Shield of New Jersey', 'UnitedHealthcare Oxford', 'Health Republic Insurance of New Jersey', 'AmeriHealth New Jersey']"
"Pushmataha, OK",2,"['GlobalHealth', 'Blue Cross and Blue Shield of Oklahoma']"
"Nance, NE",2,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.']"
"Grand Forks, ND",3,"['Medica', 'Blue Cross Blue Shield of North Dakota', 'Sanford Health Plan']"
"Preble, OH",7,"['CareSource', 'InHealth Mutual', 'Humana, Inc.', 'Premier Health Plan', 'HealthSpan', 'MedMutual', 'Anthem Blue Cross and Blue Shield']"
"La Paz, AZ",7,"['Blue Cross Blue Shield of Arizona, Inc.', 'MERITUS MUTUAL HEALTH PARTNERS', 'Cigna Healthcare', 'Aetna', 'United Health One', 'Health Net', 'University of Arizona Health Plans - University Healthcare Marketplace']"
"Hartley, TX",2,"['FirstCare Health Plans', 'Blue Cross and Blue Shield of Texas']"
"Niobrara, WY",2,"['WINhealth Partners', 'Blue Cross Blue Shield of Wyoming']"
"De Witt, IL",5,"['Land of Lincoln Mutual Health Insurance Company', 'Coventry Health Care', 'Health Alliance Medical Plans, Inc.', 'Blue Cross and Blue Shield of Illinois', 'Humana, Inc.']"
"Bartow, GA",5,"['Alliant Health Plans', 'Kaiser Permanente', 'UnitedHealthcare', 'Humana, Inc.', 'Blue Cross Blue Shield Healthcare Plan of Georgia']"
"Manassas city, VA",2,"['HealthKeepers, Inc.', 'Kaiser Permanente']"
"Christian, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health and Life']"
"Madison, NC",3,"['Blue Cross and Blue Shield of NC', 'Coventry Health Care of the Carolinas, Inc.', 'UnitedHealthcare']"
"Moore, NC",2,"['Blue Cross and Blue Shield of NC', 'UnitedHealthcare']"
"Jefferson, OK",2,"['Blue Cross and Blue Shield of Oklahoma', 'GlobalHealth']"
"Jefferson, OH",4,"['Aetna', 'MedMutual', 'InHealth Mutual', 'Anthem Blue Cross and Blue Shield']"
"Moore, TX",2,"['FirstCare Health Plans', 'Blue Cross and Blue Shield of Texas']"
"Pontotoc, MS",2,"['UnitedHealthcare', 'Ambetter from Magnolia Health']"
"Vinton, OH",4,"['Anthem Blue Cross and Blue Shield', 'InHealth Mutual', 'Aetna', 'MedMutual']"
"Beauregard, LA",3,"['Blue Cross Blue Shield of Louisiana', 'UnitedHealthcare', 'Vantage Health Plan']"
"Laclede, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health and Life']"
"Butler, IA",1,['Coventry Health Care of Iowa Inc.']
"Montgomery, KS",3,"['Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.']"
"Tate, MS",3,"['UnitedHealthcare', 'Ambetter from Magnolia Health', 'Humana, Inc.']"
"Goshen, WY",2,"['Blue Cross Blue Shield of Wyoming', 'WINhealth Partners']"
"Newton, IN",3,"['UnitedHealthcare', 'Anthem Blue Cross and Blue Shield', 'MDwise Marketplace']"
"Dauphin, PA",7,"['Keystone Health Plan Central, A Capital BlueCross Company', 'Capital BlueCross', 'Highmark Inc.', 'Geisinger Health Plan', 'Highmark Health Insurance Company', 'Geisinger Choice', 'HealthAmerica Pennsylvania, Inc.']"
"Phillips, KS",3,"['BlueCross BlueShield Kansas Solutions, Inc.', 'Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Gwinnett, GA",7,"['Coventry Health Care of Georgia, Inc.', 'Kaiser Permanente', 'Cigna Healthcare', 'UnitedHealthcare', 'Humana, Inc.', 'Blue Cross Blue Shield Healthcare Plan of Georgia', 'Ambetter from Peach State Health Plan']"
"Lyman, SD",3,"['Avera Health Plans, Inc.', 'Sanford Health Plan', 'DAKOTACARE']"
"Vance, NC",3,"['Blue Cross and Blue Shield of NC', 'UnitedHealthcare', 'Coventry Health Care of the Carolinas, Inc.']"
"Genesee, MI",7,"['Total Health Care USA, Inc.', 'Priority Health', 'McLaren Health Plan', 'Consumers Mutual Insurance of Michigan', 'Blue Care Network of Michigan', 'Blue Cross Blue Shield of Michigan', 'HAP']"
"Lea, NM",5,"['Blue Cross and Blue Shield of New Mexico', 'New Mexico Health Connections', 'CHRISTUS Health Plan NM', 'Molina Health Care of New Mexico, Inc.', 'Presbyterian Health Plan']"
"Luzerne, PA",4,"['Geisinger Choice', 'Blue Cross of Northeastern Pennsylvania', 'HealthAmerica Pennsylvania, Inc.', 'Geisinger Health Plan']"
"Delaware, IA",1,['Coventry Health Care of Iowa Inc.']
"Adams, NE",2,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.']"
"Adams, ND",3,"['Medica', 'Blue Cross Blue Shield of North Dakota', 'Sanford Health Plan']"
"Keya Paha, NE",2,"['Coventry Health Care of Nebraska Inc.', 'Blue Cross and Blue Shield of Nebraska']"
"Throckmorton, TX",2,"['FirstCare Health Plans', 'Blue Cross and Blue Shield of Texas']"
"Delaware, IN",5,"['UnitedHealthcare', 'CareSource', 'Indiana University Health Plans, Inc.', 'MDwise Marketplace', 'Anthem Blue Cross and Blue Shield']"
"Big Horn, WY",2,"['WINhealth Partners', 'Blue Cross Blue Shield of Wyoming']"
"Wood, WI",5,"['UnitedHealthcare', 'Arise Health Plan', 'Security Health Plan', 'Anthem Blue Cross and Blue Shield', 'Molina Marketplace']"
"Washington, GA",3,"['Blue Cross Blue Shield Healthcare Plan of Georgia', 'UnitedHealthcare', 'Humana, Inc.']"
"Hoke, NC",2,"['Blue Cross and Blue Shield of NC', 'UnitedHealthcare']"
"De Baca, NM",5,"['New Mexico Health Connections', 'Blue Cross and Blue Shield of New Mexico', 'Molina Health Care of New Mexico, Inc.', 'Presbyterian Health Plan', 'CHRISTUS Health Plan NM']"
"Winnebago, IA",1,['Coventry Health Care of Iowa Inc.']
"Menominee, WI",2,"['Molina Marketplace', 'UnitedHealthcare']"
"Douglas, NV",3,"['HMO Colorado Inc dba HMO NV(Anthem BCBS)', 'Nevada Health CO-OP', 'Prominence HealthFirst']"
"Lauderdale, TN",3,"['Cigna Healthcare', 'BlueCross BlueShield of Tennessee', 'Humana, Inc.']"
"Liberty, TX",3,"['Aetna', 'Cigna Healthcare', 'Blue Cross and Blue Shield of Texas']"
"Winnebago, IL",5,"['Humana, Inc.', 'Health Alliance Medical Plans, Inc.', 'Land of Lincoln Mutual Health Insurance Company', 'Blue Cross and Blue Shield of Illinois', 'Coventry Health Care']"
"Jay, IN",5,"['Anthem Blue Cross and Blue Shield', 'MDwise Marketplace', 'UnitedHealthcare', 'Indiana University Health Plans, Inc.', 'PHP']"
"Buena Vista, IA",1,['Coventry Health Care of Iowa Inc.']
"Erie, OH",4,"['Anthem Blue Cross and Blue Shield', 'MedMutual', 'InHealth Mutual', 'Paramount Insurance Company']"
"Roberts, SD",3,"['DAKOTACARE', 'Avera Health Plans, Inc.', 'Sanford Health Plan']"
"Etowah, AL",2,"['UnitedHealthcare', 'Blue Cross and Blue Shield of Alabama']"
"Miller, AR",4,"['Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance', 'Ambetter of Arkansas', 'QC Life and Health']"
"York, ME",3,"['Anthem Blue Cross and Blue Shield', 'Maine Community Health Options', 'Harvard Pilgrim  Health Care Inc.']"
"Columbia, AR",4,"['QualChoice Health Insurance', 'Arkansas Blue Cross and Blue Shield', 'Ambetter of Arkansas', 'QC Life and Health']"
