County,Number of Issuers,Issuers
"Richmond city, VA",4,"['Coventry Health Care of Virginia, Inc', 'Aetna Life Insurance Company', 'Optima Health Plan', 'HealthKeepers, Inc.']"
"Anderson, TN",3,"['Humana Insurance Company', 'BlueCross BlueShield of Tennessee', 'Community Health Alliance']"
"Roberts, TX",2,"['Blue Cross Blue Shield of Texas', 'FirstCare Health Plans']"
"Green, WI",3,"['Dean Health Plan', 'Group Health Cooperative- SCW', 'MercyCare HMO, Inc.']"
"Walton, FL",2,"['Florida Blue HMO (a BlueCross BlueShield FL company)', 'Florida Blue (BlueCross BlueShield FL)']"
"St. Croix, WI",2,"['Medica Health Plans of Wisconsin', 'Health Tradition Health Plan']"
"Lee, TX",5,"['Scott and White Health Plan', 'Blue Cross Blue Shield of Texas', 'Aetna', 'FirstCare Health Plans', 'Sendero Health Plans']"
"San Saba, TX",3,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas', 'Scott and White Health Plan']"
"Anson, NC",2,"['Coventry Health Care of the Carolinas, Inc.', 'Blue Cross and Blue Shield of NC']"
"King George, VA",3,"['HealthKeepers, Inc.', 'Optima Health Plan', 'Kaiser Permanente']"
"Harrisonburg city, VA",2,"['HealthKeepers, Inc.', 'Optima Health Plan']"
"Fort Bend, TX",5,"['Blue Cross Blue Shield of Texas', 'Aetna', 'Community Health Choice', 'Humana Health Plan of Texas, Inc.', 'Cigna Healthcare']"
"Clay, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Bedford, VA",3,"['Aetna Life Insurance Company', 'HealthKeepers, Inc.', 'Optima Health Plan']"
"Starr, TX",2,"['Molina Marketplace', 'Blue Cross Blue Shield of Texas']"
"Elmore, ID",4,"['BridgeSpan Health Company', 'Blue Cross of Idaho', 'SelectHealth', 'PacificSource Health Plans']"
"Powell, MT",3,"['Montana Health Cooperative', 'PacificSource Health Plans', 'Blue Cross Blue Shield of Montana']"
"Mason, MI",4,"['Consumers Mutual Insurance of Michigan', 'Priority Health', 'Blue Care Network of Michigan', 'Blue Cross Blue Shield of Michigan']"
"Pulaski, IL",3,"['Land of Lincoln Mutual Health Insurance Company', 'Blue Cross Blue Shield of Illinois', 'Health Alliance Medical Plans, Inc.']"
"Woodson, KS",2,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Putnam, IL",5,"['Health Alliance Medical Plans, Inc.', 'Humana Insurance Company', 'Land of Lincoln Mutual Health Insurance Company', 'Blue Cross Blue Shield of Illinois', 'Coventry Health Care']"
"Lenawee, MI",2,"['Priority Health', 'Blue Cross Blue Shield of Michigan']"
"Cimarron, OK",2,"['Blue Cross Blue Shield of Oklahoma', 'Coventry Health and Life']"
"Jefferson, NE",3,"['Coventry Health Care of Nebraska Inc.', 'CoOportunity Health', 'Blue Cross and Blue Shield of Nebraska']"
"Pope, IL",3,"['Health Alliance Medical Plans, Inc.', 'Land of Lincoln Mutual Health Insurance Company', 'Blue Cross Blue Shield of Illinois']"
"Franklin, IA",2,"['Coventry Health Care of Iowa Inc.', 'CoOportunity Health']"
"Dixie, FL",2,"['Florida Blue HMO (a BlueCross BlueShield FL company)', 'Florida Blue (BlueCross BlueShield FL)']"
"Cumberland, ME",2,"['Anthem Blue Cross and Blue Shield', 'Maine Community Health Options']"
"Marion, TX",1,['Blue Cross Blue Shield of Texas']
"Franklin, IN",1,['Anthem Blue Cross and Blue Shield']
"Montgomery, TN",4,"['Humana Insurance Company', 'BlueCross BlueShield of Tennessee', 'Cigna Healthcare', 'Community Health Alliance']"
"Franklin, IL",3,"['Land of Lincoln Mutual Health Insurance Company', 'Health Alliance Medical Plans, Inc.', 'Blue Cross Blue Shield of Illinois']"
"Williamson, IL",3,"['Land of Lincoln Mutual Health Insurance Company', 'Blue Cross Blue Shield of Illinois', 'Health Alliance Medical Plans, Inc.']"
"Montgomery, TX",5,"['Humana Health Plan of Texas, Inc.', 'Aetna', 'Community Health Choice', 'Blue Cross Blue Shield of Texas', 'Cigna Healthcare']"
"Marion, TN",2,"['BlueCross BlueShield of Tennessee', 'Cigna Healthcare']"
"Pender, NC",1,['Blue Cross and Blue Shield of NC']
"Pima, AZ",10,"['Humana Health Plan, Inc.', 'University of Arizona Health Plans - University Healthcare Marketplace', 'MERITUS MUTUAL HEALTH PARTNERS', 'Blue Cross Blue Shield of Arizona, Inc.', 'Health Choice Insurance Co.', 'Health Net of Arizona, Inc.', 'Meritus Health Partners', 'Aetna', 'Cigna Healthcare', 'Health Net Life Insurance Company']"
"Gloucester, NJ",3,"['Horizon Blue Cross Blue Shield of New Jersey', 'Health Republic Insurance of New Jersey', 'AmeriHealth New Jersey']"
"Champaign, OH",3,"['MedMutual', 'HealthSpan', 'Anthem Blue Cross and Blue Shield']"
"Sabine, TX",1,['Blue Cross Blue Shield of Texas']
"Powhatan, VA",3,"['HealthKeepers, Inc.', 'Optima Health Plan', 'Aetna Life Insurance Company']"
"Harding, SD",3,"['Avera Health Plans, Inc.', 'DAKOTACARE', 'Sanford Health Plan']"
"Lawrence, TN",2,"['BlueCross BlueShield of Tennessee', 'Community Health Alliance']"
"Juniata, PA",7,"['Highmark Health Insurance Company', 'HealthAmerica Pennsylvania, Inc.', 'Geisinger Health Plan', 'Highmark Inc.', 'Geisinger Choice', 'Keystone Health Plan Central, A Capital BlueCross Company', 'Capital BlueCross']"
"Clark, SD",3,"['Avera Health Plans, Inc.', 'DAKOTACARE', 'Sanford Health Plan']"
"Lake, SD",3,"['Sanford Health Plan', 'DAKOTACARE', 'Avera Health Plans, Inc.']"
"Liberty, FL",1,['Florida Blue (BlueCross BlueShield FL)']
"Dickinson, IA",3,"['Coventry Health Care of Iowa Inc.', 'Avera Health Plans, Inc.', 'CoOportunity Health']"
"Monroe, OH",3,"['Coventry Health and Life', 'Anthem Blue Cross and Blue Shield', 'MedMutual']"
"Mitchell, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Richardson, NE",3,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.', 'CoOportunity Health']"
"Northumberland, VA",3,"['HealthKeepers, Inc.', 'Optima Health Plan', 'Aetna Life Insurance Company']"
"Dooly, GA",1,['Blue Cross and Blue Shield of Georgia']
"Dinwiddie, VA",3,"['Aetna Life Insurance Company', 'HealthKeepers, Inc.', 'Optima Health Plan']"
"Massac, IL",3,"['Blue Cross Blue Shield of Illinois', 'Land of Lincoln Mutual Health Insurance Company', 'Health Alliance Medical Plans, Inc.']"
"Linn, KS",2,"['Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas, Inc.']"
"Candler, GA",2,"['Humana Employers Health Plan of Georgia, Inc.', 'Blue Cross and Blue Shield of Georgia']"
"Sarpy, NE",4,"['Coventry Health Care of Nebraska Inc.', 'Blue Cross and Blue Shield of Nebraska', 'Health Alliance Midwest Inc.', 'CoOportunity Health']"
"Teton, ID",3,"['BridgeSpan Health Company', 'Blue Cross of Idaho', 'PacificSource Health Plans']"
"Warren, VA",2,"['HealthKeepers, Inc.', 'Optima Health Plan']"
"Dubuque, IA",2,"['Coventry Health Care of Iowa Inc.', 'CoOportunity Health']"
"Iron, MO",2,"['Coventry Health Care', 'Anthem Blue Cross and Blue Shield']"
"Iron, MI",2,"['Blue Cross Blue Shield of Michigan', 'Consumers Mutual Insurance of Michigan']"
"Granville, NC",2,"['Coventry Health Care of the Carolinas, Inc.', 'Blue Cross and Blue Shield of NC']"
"Bon Homme, SD",3,"['Avera Health Plans, Inc.', 'Sanford Health Plan', 'DAKOTACARE']"
"Schley, GA",1,['Blue Cross and Blue Shield of Georgia']
"Coffee, AL",1,['Blue Cross and Blue Shield of Alabama']
"White, TN",1,['BlueCross BlueShield of Tennessee']
"Gladwin, MI",5,"['Blue Care Network of Michigan', 'HAP', 'Priority Health', 'Blue Cross Blue Shield of Michigan', 'Consumers Mutual Insurance of Michigan']"
"Chesapeake city, VA",2,"['Optima Health Plan', 'HealthKeepers, Inc.']"
"Crawford, KS",2,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Van Buren, AR",3,"['Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance', 'Ambetter of Arkansas']"
"Highland, OH",3,"['MedMutual', 'HealthSpan', 'Anthem Blue Cross and Blue Shield']"
"Morgan, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health Care']"
"Fulton, AR",2,"['Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance']"
"Spencer, IN",1,['Anthem Blue Cross and Blue Shield']
"Elkhart, IN",4,"['PHP', 'Anthem Blue Cross and Blue Shield', 'Ambetter from MHS', 'MDwise Marketplace']"
"Bayfield, WI",1,['Security Health Plan']
"Appanoose, IA",2,"['Coventry Health Care of Iowa Inc.', 'CoOportunity Health']"
"Dawson, MT",3,"['Montana Health Cooperative', 'Blue Cross Blue Shield of Montana', 'PacificSource Health Plans']"
"Shelby, TX",1,['Blue Cross Blue Shield of Texas']
"Houston, AL",1,['Blue Cross and Blue Shield of Alabama']
"Wilkinson, MS",1,['Humana Insurance Company']
"Harper, KS",3,"['Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health Care Of Kansas Inc']"
"Lemhi, ID",4,"['PacificSource Health Plans', 'SelectHealth', 'BridgeSpan Health Company', 'Blue Cross of Idaho']"
"Fulton, OH",5,"['Anthem Blue Cross and Blue Shield', 'CareSource', 'Paramount Insurance Company', 'HealthSpan', 'MedMutual']"
"Fergus, MT",3,"['PacificSource Health Plans', 'Montana Health Cooperative', 'Blue Cross Blue Shield of Montana']"
"Eddy, NM",4,"['Blue Cross Blue Shield of New Mexico', 'New Mexico Health Connections', 'Presbyterian Health Plan', 'Molina Health Care of New Mexico, Inc.']"
"Missoula, MT",3,"['Blue Cross Blue Shield of Montana', 'Montana Health Cooperative', 'PacificSource Health Plans']"
"Eddy, ND",3,"['Blue Cross Blue Shield of North Dakota', 'Sanford Health Plan', 'Medica Health Plans']"
"Pike, GA",2,"['Blue Cross and Blue Shield of Georgia', 'Kaiser Permanente']"
"Sumner, TN",4,"['BlueCross BlueShield of Tennessee', 'Humana Insurance Company', 'Cigna Healthcare', 'Community Health Alliance']"
"Bannock, ID",4,"['PacificSource Health Plans', 'SelectHealth', 'Blue Cross of Idaho', 'BridgeSpan Health Company']"
"Adair, OK",3,"['Coventry Health and Life', 'Blue Cross Blue Shield of Oklahoma', 'GlobalHealth']"
"Clinch, GA",1,['Blue Cross and Blue Shield of Georgia']
"Osceola, MI",3,"['Priority Health', 'Blue Care Network of Michigan', 'Blue Cross Blue Shield of Michigan']"
"Burke, NC",2,"['Blue Cross and Blue Shield of NC', 'Coventry Health Care of the Carolinas, Inc.']"
"Burke, ND",2,"['Sanford Health Plan', 'Blue Cross Blue Shield of North Dakota']"
"Caldwell, LA",3,"['Louisiana Health Cooperative', 'Blue Cross Blue Shield of Louisiana', 'Vantage Health Plan, Inc.']"
"Plaquemines, LA",4,"['Louisiana Health Cooperative', 'HMO Louisiana', 'Blue Cross Blue Shield of Louisiana', 'Vantage Health Plan, Inc.']"
"Martinsville city, VA",4,"['HealthKeepers, Inc.', 'Coventry Health Care of Virginia, Inc', 'Optima Health Plan', 'Aetna Life Insurance Company']"
"Bucks, PA",2,"['Independence Blue Cross', 'Aetna']"
"Cameron, PA",6,"['HealthAmerica Pennsylvania, Inc.', 'Highmark Inc.', 'Geisinger Health Plan', 'Highmark Health Insurance Company', 'UPMC Health Plan', 'Geisinger Choice']"
"Carroll, NH",1,['Anthem Blue Cross and Blue Shield']
"Yukon-Koyukuk Census, AK",2,"['Moda Health Plan, Inc.', 'Premera Blue Cross Blue Shield of Alaska']"
"Crenshaw, AL",1,['Blue Cross and Blue Shield of Alabama']
"Smith, TX",1,['Blue Cross Blue Shield of Texas']
"Marion, GA",3,"['Ambetter from Peach State Health Plan', 'Blue Cross and Blue Shield of Georgia', 'Humana Employers Health Plan of Georgia, Inc.']"
"Sullivan, IN",2,"['Anthem Blue Cross and Blue Shield', 'MDwise Marketplace']"
"Cheboygan, MI",5,"['Blue Care Network of Michigan', 'Consumers Mutual Insurance of Michigan', 'Blue Cross Blue Shield of Michigan', 'McLaren Health Plan', 'Priority Health']"
"Smith, TN",1,['BlueCross BlueShield of Tennessee']
"Ellis, OK",2,"['Blue Cross Blue Shield of Oklahoma', 'Coventry Health and Life']"
"Robertson, TN",4,"['Community Health Alliance', 'Humana Insurance Company', 'BlueCross BlueShield of Tennessee', 'Cigna Healthcare']"
"Milam, TX",3,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas', 'Scott and White Health Plan']"
"Holmes, OH",3,"['Anthem Blue Cross and Blue Shield', 'MedMutual', 'SummaCare Inc']"
"Rhea, TN",2,"['BlueCross BlueShield of Tennessee', 'Cigna Healthcare']"
"Pecos, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Kent, DE",2,"['Highmark BCBSD Inc.', 'Coventry Health Care']"
"Fayette, PA",4,"['Highmark Health Insurance Company', 'Highmark Inc.', 'HealthAmerica Pennsylvania, Inc.', 'UPMC Health Plan']"
"Kosciusko, IN",4,"['Ambetter from MHS', 'Anthem Blue Cross and Blue Shield', 'MDwise Marketplace', 'PHP']"
"Louisa, VA",3,"['Kaiser Permanente', 'Optima Health Plan', 'HealthKeepers, Inc.']"
"Jackson, TN",1,['BlueCross BlueShield of Tennessee']
"Hutchinson, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Jackson, TX",1,['Blue Cross Blue Shield of Texas']
"Grant, WI",3,"['Gundersen Health Plan, Inc.', 'Health Tradition Health Plan', 'Dean Health Plan']"
"Montmorency, MI",3,"['Priority Health', 'Blue Care Network of Michigan', 'Blue Cross Blue Shield of Michigan']"
"Dare, NC",1,['Blue Cross and Blue Shield of NC']
"Sequatchie, TN",2,"['Cigna Healthcare', 'BlueCross BlueShield of Tennessee']"
"Choctaw, OK",2,"['Blue Cross Blue Shield of Oklahoma', 'Coventry Health and Life']"
"Camden, GA",2,"['Blue Cross and Blue Shield of Georgia', 'Humana Employers Health Plan of Georgia, Inc.']"
"Ingham, MI",5,"['Consumers Mutual Insurance of Michigan', 'Blue Care Network of Michigan', 'Priority Health', 'Blue Cross Blue Shield of Michigan', 'McLaren Health Plan']"
"Pottawattamie, IA",2,"['Coventry Health Care of Iowa Inc.', 'CoOportunity Health']"
"Moody, SD",3,"['Avera Health Plans, Inc.', 'Sanford Health Plan', 'DAKOTACARE']"
"Grundy, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Grundy, IL",5,"['Health Alliance Medical Plans, Inc.', 'Aetna', 'Land of Lincoln Mutual Health Insurance Company', 'Coventry Health Care', 'Blue Cross Blue Shield of Illinois']"
"Forest, WI",2,"['Security Health Plan', 'Molina Healthcare of Wisconsin, Inc.']"
"Huntington, IN",3,"['Anthem Blue Cross and Blue Shield', 'Ambetter from MHS', 'PHP']"
"Prince Edward, VA",2,"['HealthKeepers, Inc.', 'Optima Health Plan']"
"Montague, TX",1,['Blue Cross Blue Shield of Texas']
", ",1,['']
"Kimball, NE",3,"['Blue Cross and Blue Shield of Nebraska', 'CoOportunity Health', 'Coventry Health Care of Nebraska Inc.']"
"Ottawa, OK",3,"['GlobalHealth', 'Coventry Health and Life', 'Blue Cross Blue Shield of Oklahoma']"
"Ottawa, OH",4,"['Anthem Blue Cross and Blue Shield', 'MedMutual', 'HealthSpan', 'Paramount Insurance Company']"
"Donley, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"DeKalb, MO",2,"['Blue Cross and Blue Shield of Kansas City', 'Coventry Health and Life']"
"Travis, TX",7,"['Sendero Health Plans', 'Humana Health Plan of Texas, Inc.', 'Cigna Healthcare', 'Ambetter from Superior Health Plan', 'Blue Cross Blue Shield of Texas', 'Scott and White Health Plan', 'Aetna']"
"Cass, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Portage, WI",2,"['Security Health Plan', 'Anthem Blue Cross and Blue Shield']"
"Porter, IN",2,"['Anthem Blue Cross and Blue Shield', 'MDwise Marketplace']"
"Jackson, FL",1,['Florida Blue (BlueCross BlueShield FL)']
"Clark, OH",5,"['Anthem Blue Cross and Blue Shield', 'MedMutual', 'MOLINA HEALTHCARE OF OHIO', 'CareSource', 'HealthSpan']"
"Cass, IL",4,"['Coventry Health Care', 'Blue Cross Blue Shield of Illinois', 'Land of Lincoln Mutual Health Insurance Company', 'Health Alliance Medical Plans, Inc.']"
"Cass, IN",3,"['Anthem Blue Cross and Blue Shield', 'MDwise Marketplace', 'PHP']"
"Stutsman, ND",3,"['Medica Health Plans', 'Blue Cross Blue Shield of North Dakota', 'Sanford Health Plan']"
"Fall River, SD",3,"['DAKOTACARE', 'Avera Health Plans, Inc.', 'Sanford Health Plan']"
"Greenville, SC",4,"[""Consumers' Choice Health Plan"", 'BlueChoice HealthPlan', 'BlueCross BlueShield of South Carolina', 'Coventry Health Care of the Carolinas, Inc.']"
"Leflore, MS",1,['Humana Insurance Company']
"Caddo, OK",2,"['Blue Cross Blue Shield of Oklahoma', 'Coventry Health and Life']"
"Bland, VA",2,"['HealthKeepers, Inc.', 'Aetna Life Insurance Company']"
"Union, OH",3,"['MedMutual', 'Anthem Blue Cross and Blue Shield', 'CareSource']"
"Ohio, IN",1,['Anthem Blue Cross and Blue Shield']
"Surry, NC",1,['Blue Cross and Blue Shield of NC']
"Gray, KS",2,"['Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas, Inc.']"
"Caroline, VA",3,"['Optima Health Plan', 'Kaiser Permanente', 'HealthKeepers, Inc.']"
"Salem, NJ",3,"['Horizon Blue Cross Blue Shield of New Jersey', 'Health Republic Insurance of New Jersey', 'AmeriHealth New Jersey']"
"Pushmataha, OK",2,"['Coventry Health and Life', 'Blue Cross Blue Shield of Oklahoma']"
"Nance, NE",3,"['Blue Cross and Blue Shield of Nebraska', 'CoOportunity Health', 'Coventry Health Care of Nebraska Inc.']"
"Grand Forks, ND",3,"['Blue Cross Blue Shield of North Dakota', 'Sanford Health Plan', 'Medica Health Plans']"
"Preble, OH",4,"['CareSource', 'HealthSpan', 'MedMutual', 'Anthem Blue Cross and Blue Shield']"
"La Paz, AZ",6,"['Blue Cross Blue Shield of Arizona, Inc.', 'MERITUS MUTUAL HEALTH PARTNERS', 'Cigna Healthcare', 'Aetna', 'Health Net Life Insurance Company', 'University of Arizona Health Plans - University Healthcare Marketplace']"
"Hartley, TX",2,"['Blue Cross Blue Shield of Texas', 'FirstCare Health Plans']"
"Niobrara, WY",2,"['WINhealth Partners', 'Blue Cross Blue Shield of Wyoming']"
"De Witt, IL",5,"['Land of Lincoln Mutual Health Insurance Company', 'Humana Insurance Company', 'Blue Cross Blue Shield of Illinois', 'Coventry Health Care', 'Health Alliance Medical Plans, Inc.']"
"Bartow, GA",4,"['Alliant Health Plans', 'Kaiser Permanente', 'Humana Employers Health Plan of Georgia, Inc.', 'Blue Cross and Blue Shield of Georgia']"
"Manassas city, VA",2,"['HealthKeepers, Inc.', 'Kaiser Permanente']"
"Christian, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health and Life']"
"Madison, NC",2,"['Blue Cross and Blue Shield of NC', 'Coventry Health Care of the Carolinas, Inc.']"
"Moore, NC",1,['Blue Cross and Blue Shield of NC']
"Jefferson, OK",2,"['Blue Cross Blue Shield of Oklahoma', 'Coventry Health and Life']"
"Jefferson, OH",3,"['Coventry Health and Life', 'MedMutual', 'Anthem Blue Cross and Blue Shield']"
"Moore, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Pontotoc, MS",1,['Ambetter from Magnolia Health Plan']
"Vinton, OH",3,"['Coventry Health and Life', 'Anthem Blue Cross and Blue Shield', 'MedMutual']"
"Beauregard, LA",3,"['Blue Cross Blue Shield of Louisiana', 'Vantage Health Plan, Inc.', 'Louisiana Health Cooperative']"
"Laclede, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health and Life']"
"Butler, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Montgomery, KS",2,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Tate, MS",1,['Ambetter from Magnolia Health Plan']
"Goshen, WY",2,"['Blue Cross Blue Shield of Wyoming', 'WINhealth Partners']"
"Newton, IN",3,"['Anthem Blue Cross and Blue Shield', 'MDwise Marketplace', 'PHP']"
"Dauphin, PA",7,"['Keystone Health Plan Central, A Capital BlueCross Company', 'Capital BlueCross', 'Highmark Inc.', 'Geisinger Health Plan', 'Highmark Health Insurance Company', 'Geisinger Choice', 'HealthAmerica Pennsylvania, Inc.']"
"Phillips, KS",2,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Gwinnett, GA",3,"['Kaiser Permanente', 'Blue Cross and Blue Shield of Georgia', 'Humana Employers Health Plan of Georgia, Inc.']"
"Lyman, SD",3,"['Avera Health Plans, Inc.', 'Sanford Health Plan', 'DAKOTACARE']"
"Vance, NC",2,"['Blue Cross and Blue Shield of NC', 'Coventry Health Care of the Carolinas, Inc.']"
"Genesee, MI",7,"['Total Health Care USA, Inc.', 'Priority Health', 'McLaren Health Plan', 'Consumers Mutual Insurance of Michigan', 'Blue Care Network of Michigan', 'Blue Cross Blue Shield of Michigan', 'HAP']"
"Lea, NM",4,"['New Mexico Health Connections', 'Blue Cross Blue Shield of New Mexico', 'Molina Health Care of New Mexico, Inc.', 'Presbyterian Health Plan']"
"Luzerne, PA",4,"['Geisinger Choice', 'Geisinger Health Plan', 'Blue Cross of Northeastern Pennsylvania', 'HealthAmerica Pennsylvania, Inc.']"
"Delaware, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Adams, NE",3,"['Blue Cross and Blue Shield of Nebraska', 'CoOportunity Health', 'Coventry Health Care of Nebraska Inc.']"
"Calhoun, FL",1,['Florida Blue (BlueCross BlueShield FL)']
"Keya Paha, NE",3,"['Coventry Health Care of Nebraska Inc.', 'Blue Cross and Blue Shield of Nebraska', 'CoOportunity Health']"
"Throckmorton, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Delaware, IN",3,"['MDwise Marketplace', 'PHP', 'Anthem Blue Cross and Blue Shield']"
"Big Horn, WY",2,"['WINhealth Partners', 'Blue Cross Blue Shield of Wyoming']"
"Washington, GA",2,"['Humana Employers Health Plan of Georgia, Inc.', 'Blue Cross and Blue Shield of Georgia']"
"Hoke, NC",1,['Blue Cross and Blue Shield of NC']
"De Baca, NM",4,"['New Mexico Health Connections', 'Molina Health Care of New Mexico, Inc.', 'Presbyterian Health Plan', 'Blue Cross Blue Shield of New Mexico']"
"Winnebago, IA",2,"['Coventry Health Care of Iowa Inc.', 'CoOportunity Health']"
"Menominee, WI",3,"['Dean Health Plan', 'Molina Healthcare of Wisconsin, Inc.', 'Anthem Blue Cross and Blue Shield']"
"Washita, OK",2,"['Blue Cross Blue Shield of Oklahoma', 'Coventry Health and Life']"
"Lauderdale, TN",4,"['Cigna Healthcare', 'BlueCross BlueShield of Tennessee', 'Humana Insurance Company', 'Community Health Alliance']"
"Liberty, TX",3,"['Aetna', 'Cigna Healthcare', 'Blue Cross Blue Shield of Texas']"
"Winnebago, IL",5,"['Humana Health Plan, Inc.', 'Blue Cross Blue Shield of Illinois', 'Health Alliance Medical Plans, Inc.', 'Coventry Health Care', 'Land of Lincoln Mutual Health Insurance Company']"
"Jay, IN",3,"['Anthem Blue Cross and Blue Shield', 'MDwise Marketplace', 'PHP']"
"Buena Vista, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Erie, OH",3,"['Anthem Blue Cross and Blue Shield', 'MedMutual', 'Paramount Insurance Company']"
"Roberts, SD",3,"['DAKOTACARE', 'Avera Health Plans, Inc.', 'Sanford Health Plan']"
"Etowah, AL",1,['Blue Cross and Blue Shield of Alabama']
"Miller, AR",1,['Arkansas Blue Cross and Blue Shield']
"York, ME",2,"['Anthem Blue Cross and Blue Shield', 'Maine Community Health Options']"
"Columbia, AR",1,['Arkansas Blue Cross and Blue Shield']
"Isabella, MI",6,"['Priority Health', 'Blue Cross Blue Shield of Michigan', 'McLaren Health Plan', 'Consumers Mutual Insurance of Michigan', 'Blue Care Network of Michigan', 'HAP']"
"Comanche, TX",2,"['Blue Cross Blue Shield of Texas', 'FirstCare Health Plans']"
"Hinds, MS",2,"['Ambetter from Magnolia Health Plan', 'Humana Insurance Company']"
"Day, SD",3,"['DAKOTACARE', 'Sanford Health Plan', 'Avera Health Plans, Inc.']"
"Eastland, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Rusk, WI",2,"['Health Tradition Health Plan', 'Security Health Plan']"
"Hale, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Davidson, TN",4,"['BlueCross BlueShield of Tennessee', 'Community Health Alliance', 'Humana Insurance Company', 'Cigna Healthcare']"
"Cleveland, AR",1,['Arkansas Blue Cross and Blue Shield']
"Fond du Lac, WI",5,"['Arise Health Plan', 'Anthem Blue Cross and Blue Shield', 'Common Ground Healthcare Cooperative', 'Dean Health Plan', 'Molina Healthcare of Wisconsin, Inc.']"
"Alcorn, MS",1,['Humana Insurance Company']
"Nez Perce, ID",3,"['Blue Cross of Idaho', 'BridgeSpan Health Company', 'PacificSource Health Plans']"
"Coweta, GA",3,"['Blue Cross and Blue Shield of Georgia', 'Kaiser Permanente', 'Humana Employers Health Plan of Georgia, Inc.']"
"Washakie, WY",2,"['WINhealth Partners', 'Blue Cross Blue Shield of Wyoming']"
"McDowell, NC",2,"['Coventry Health Care of the Carolinas, Inc.', 'Blue Cross and Blue Shield of NC']"
"Lincoln, ID",4,"['BridgeSpan Health Company', 'SelectHealth', 'PacificSource Health Plans', 'Blue Cross of Idaho']"
"Van Wert, OH",3,"['HealthSpan', 'MedMutual', 'Anthem Blue Cross and Blue Shield']"
"Perkins, NE",3,"['Coventry Health Care of Nebraska Inc.', 'Blue Cross and Blue Shield of Nebraska', 'CoOportunity Health']"
"Owyhee, ID",4,"['SelectHealth', 'BridgeSpan Health Company', 'Blue Cross of Idaho', 'PacificSource Health Plans']"
"Harlan, NE",3,"['CoOportunity Health', 'Coventry Health Care of Nebraska Inc.', 'Blue Cross and Blue Shield of Nebraska']"
"Cherokee, AL",1,['Blue Cross and Blue Shield of Alabama']
"Randolph, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Transylvania, NC",2,"['Blue Cross and Blue Shield of NC', 'Coventry Health Care of the Carolinas, Inc.']"
"Sumter, SC",4,"['BlueCross BlueShield of South Carolina', 'BlueChoice HealthPlan', ""Consumers' Choice Health Plan"", 'Coventry Health Care of the Carolinas, Inc.']"
"Long, GA",2,"['Humana Employers Health Plan of Georgia, Inc.', 'Blue Cross and Blue Shield of Georgia']"
"Hancock, OH",4,"['Anthem Blue Cross and Blue Shield', 'MedMutual', 'HealthSpan', 'Paramount Insurance Company']"
"Duchesne, UT",4,"['BridgeSpan Health Company', 'Arches Health Plan', 'SelectHealth', 'Altius Health Plans Inc.']"
"Barnwell, SC",3,"['BlueCross BlueShield of South Carolina', ""Consumers' Choice Health Plan"", 'BlueChoice HealthPlan']"
"Midland, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Jackson, WI",3,"['Gundersen Health Plan, Inc.', 'Security Health Plan', 'Health Tradition Health Plan']"
"Oconee, SC",3,"['BlueCross BlueShield of South Carolina', ""Consumers' Choice Health Plan"", 'BlueChoice HealthPlan']"
