i,s,c,id
"UnitedHealthcare of Georgia, Inc.",GA,Bryan,"Bryan, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Bryan,"Bryan, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Bryan,"Bryan, GA"
Aetna Health Inc. (a GA corp.),GA,Bryan,"Bryan, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Bulloch,"Bulloch, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Bulloch,"Bulloch, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Bulloch,"Bulloch, GA"
Aetna Health Inc. (a GA corp.),GA,Burke,"Burke, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Burke,"Burke, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Burke,"Burke, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Burke,"Burke, GA"
Kaiser Foundation Health Plan of Georgia,GA,Butts,"Butts, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Butts,"Butts, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Butts,"Butts, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Butts,"Butts, GA"
Ambetter of Peach State Inc.,GA,Butts,"Butts, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Calhoun,"Calhoun, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Calhoun,"Calhoun, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Camden,"Camden, GA"
Aetna Health Inc. (a GA corp.),GA,Camden,"Camden, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Camden,"Camden, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Camden,"Camden, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Candler,"Candler, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Candler,"Candler, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Candler,"Candler, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Carroll,"Carroll, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Carroll,"Carroll, GA"
Kaiser Foundation Health Plan of Georgia,GA,Carroll,"Carroll, GA"
Alliant Health Plans,GA,Carroll,"Carroll, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Carroll,"Carroll, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Catoosa,"Catoosa, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Catoosa,"Catoosa, GA"
Alliant Health Plans,GA,Catoosa,"Catoosa, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Charlton,"Charlton, GA"
Aetna Health Inc. (a GA corp.),GA,Charlton,"Charlton, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Charlton,"Charlton, GA"
Ambetter of Peach State Inc.,GA,Chatham,"Chatham, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Chatham,"Chatham, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Chatham,"Chatham, GA"
Aetna Health Inc. (a GA corp.),GA,Chatham,"Chatham, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Chatham,"Chatham, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Chattahoochee,"Chattahoochee, GA"
Ambetter of Peach State Inc.,GA,Chattahoochee,"Chattahoochee, GA"
Aetna Health Inc. (a GA corp.),GA,Chattahoochee,"Chattahoochee, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Chattahoochee,"Chattahoochee, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Chattahoochee,"Chattahoochee, GA"
Alliant Health Plans,GA,Chattooga,"Chattooga, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Chattooga,"Chattooga, GA"
Cigna Health and Life Insurance Company,GA,Chattooga,"Chattooga, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Chattooga,"Chattooga, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Cherokee,"Cherokee, GA"
Alliant Health Plans,GA,Cherokee,"Cherokee, GA"
Aetna Health Inc. (a GA corp.),GA,Cherokee,"Cherokee, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Cherokee,"Cherokee, GA"
Harken Health Insurance Company,GA,Cherokee,"Cherokee, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Cherokee,"Cherokee, GA"
Kaiser Foundation Health Plan of Georgia,GA,Cherokee,"Cherokee, GA"
Ambetter of Peach State Inc.,GA,Cherokee,"Cherokee, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Clarke,"Clarke, GA"
Aetna Health Inc. (a GA corp.),GA,Clarke,"Clarke, GA"
Ambetter of Peach State Inc.,GA,Clarke,"Clarke, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Clarke,"Clarke, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Clarke,"Clarke, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Clay,"Clay, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Clay,"Clay, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Clayton,"Clayton, GA"
Ambetter of Peach State Inc.,GA,Clayton,"Clayton, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Clayton,"Clayton, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Clayton,"Clayton, GA"
Kaiser Foundation Health Plan of Georgia,GA,Clayton,"Clayton, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Clinch,"Clinch, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Clinch,"Clinch, GA"
Aetna Health Inc. (a GA corp.),GA,Clinch,"Clinch, GA"
Kaiser Foundation Health Plan of Georgia,GA,Cobb,"Cobb, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Cobb,"Cobb, GA"
Harken Health Insurance Company,GA,Cobb,"Cobb, GA"
Cigna Health and Life Insurance Company,GA,Cobb,"Cobb, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Cobb,"Cobb, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Coffee,"Coffee, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Coffee,"Coffee, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Coffee,"Coffee, GA"
Aetna Health Inc. (a GA corp.),GA,Coffee,"Coffee, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Colquitt,"Colquitt, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Colquitt,"Colquitt, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Columbia,"Columbia, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Columbia,"Columbia, GA"
Aetna Health Inc. (a GA corp.),GA,Columbia,"Columbia, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Columbia,"Columbia, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Cook,"Cook, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Cook,"Cook, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Coweta,"Coweta, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Coweta,"Coweta, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Coweta,"Coweta, GA"
Kaiser Foundation Health Plan of Georgia,GA,Coweta,"Coweta, GA"
Aetna Health Inc. (a GA corp.),GA,Crawford,"Crawford, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Crawford,"Crawford, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Crawford,"Crawford, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Crawford,"Crawford, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Crisp,"Crisp, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Crisp,"Crisp, GA"
Aetna Health Inc. (a GA corp.),GA,Crisp,"Crisp, GA"
Alliant Health Plans,GA,Dade,"Dade, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Dade,"Dade, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Dade,"Dade, GA"
Kaiser Foundation Health Plan of Georgia,GA,Dawson,"Dawson, GA"
Alliant Health Plans,GA,Dawson,"Dawson, GA"
Aetna Health Inc. (a GA corp.),GA,Dawson,"Dawson, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Dawson,"Dawson, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Dawson,"Dawson, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Dawson,"Dawson, GA"
Kaiser Foundation Health Plan of Georgia,GA,DeKalb,"DeKalb, GA"
Ambetter of Peach State Inc.,GA,DeKalb,"DeKalb, GA"
Cigna Health and Life Insurance Company,GA,DeKalb,"DeKalb, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,DeKalb,"DeKalb, GA"
Harken Health Insurance Company,GA,DeKalb,"DeKalb, GA"
"UnitedHealthcare of Georgia, Inc.",GA,DeKalb,"DeKalb, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,DeKalb,"DeKalb, GA"
Aetna Health Inc. (a GA corp.),GA,DeKalb,"DeKalb, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Decatur,"Decatur, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Decatur,"Decatur, GA"
Aetna Health Inc. (a GA corp.),GA,Dodge,"Dodge, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Dodge,"Dodge, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Dodge,"Dodge, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Dooly,"Dooly, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Dooly,"Dooly, GA"
Aetna Health Inc. (a GA corp.),GA,Dooly,"Dooly, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Dougherty,"Dougherty, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Dougherty,"Dougherty, GA"
Aetna Health Inc. (a GA corp.),GA,Dougherty,"Dougherty, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Douglas,"Douglas, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Douglas,"Douglas, GA"
Kaiser Foundation Health Plan of Georgia,GA,Douglas,"Douglas, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Early,"Early, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Early,"Early, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Echols,"Echols, GA"
Aetna Health Inc. (a GA corp.),GA,Echols,"Echols, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Echols,"Echols, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Effingham,"Effingham, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Effingham,"Effingham, GA"
Aetna Health Inc. (a GA corp.),GA,Effingham,"Effingham, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Effingham,"Effingham, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Elbert,"Elbert, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Elbert,"Elbert, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Elbert,"Elbert, GA"
Ambetter of Peach State Inc.,GA,Elbert,"Elbert, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Emanuel,"Emanuel, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Emanuel,"Emanuel, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Emanuel,"Emanuel, GA"
Aetna Health Inc. (a GA corp.),GA,Emanuel,"Emanuel, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Evans,"Evans, GA"
Aetna Health Inc. (a GA corp.),GA,Evans,"Evans, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Evans,"Evans, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Evans,"Evans, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Fannin,"Fannin, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Fannin,"Fannin, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Fannin,"Fannin, GA"
Alliant Health Plans,GA,Fannin,"Fannin, GA"
Ambetter of Peach State Inc.,GA,Fayette,"Fayette, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Fayette,"Fayette, GA"
Kaiser Foundation Health Plan of Georgia,GA,Fayette,"Fayette, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Fayette,"Fayette, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Fayette,"Fayette, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Floyd,"Floyd, GA"
Alliant Health Plans,GA,Floyd,"Floyd, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Floyd,"Floyd, GA"
Cigna Health and Life Insurance Company,GA,Floyd,"Floyd, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Floyd,"Floyd, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Forsyth,"Forsyth, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Forsyth,"Forsyth, GA"
Alliant Health Plans,GA,Forsyth,"Forsyth, GA"
Ambetter of Peach State Inc.,GA,Forsyth,"Forsyth, GA"
Harken Health Insurance Company,GA,Forsyth,"Forsyth, GA"
Aetna Health Inc. (a GA corp.),GA,Forsyth,"Forsyth, GA"
Kaiser Foundation Health Plan of Georgia,GA,Forsyth,"Forsyth, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Forsyth,"Forsyth, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Franklin,"Franklin, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Franklin,"Franklin, GA"
Alliant Health Plans,GA,Franklin,"Franklin, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Fulton,"Fulton, GA"
Aetna Health Inc. (a GA corp.),GA,Fulton,"Fulton, GA"
Ambetter of Peach State Inc.,GA,Fulton,"Fulton, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Fulton,"Fulton, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Fulton,"Fulton, GA"
Harken Health Insurance Company,GA,Fulton,"Fulton, GA"
Cigna Health and Life Insurance Company,GA,Fulton,"Fulton, GA"
Kaiser Foundation Health Plan of Georgia,GA,Fulton,"Fulton, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Gilmer,"Gilmer, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Gilmer,"Gilmer, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Gilmer,"Gilmer, GA"
Alliant Health Plans,GA,Gilmer,"Gilmer, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Glascock,"Glascock, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Glascock,"Glascock, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Glascock,"Glascock, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Glynn,"Glynn, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Glynn,"Glynn, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Glynn,"Glynn, GA"
Aetna Health Inc. (a GA corp.),GA,Glynn,"Glynn, GA"
Cigna Health and Life Insurance Company,GA,Gordon,"Gordon, GA"
Alliant Health Plans,GA,Gordon,"Gordon, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Gordon,"Gordon, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Gordon,"Gordon, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Grady,"Grady, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Grady,"Grady, GA"
Ambetter of Peach State Inc.,GA,Greene,"Greene, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Greene,"Greene, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Greene,"Greene, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Greene,"Greene, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Gwinnett,"Gwinnett, GA"
Ambetter of Peach State Inc.,GA,Gwinnett,"Gwinnett, GA"
Harken Health Insurance Company,GA,Gwinnett,"Gwinnett, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Gwinnett,"Gwinnett, GA"
Aetna Health Inc. (a GA corp.),GA,Gwinnett,"Gwinnett, GA"
Kaiser Foundation Health Plan of Georgia,GA,Gwinnett,"Gwinnett, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Gwinnett,"Gwinnett, GA"
Cigna Health and Life Insurance Company,GA,Gwinnett,"Gwinnett, GA"
Alliant Health Plans,GA,Habersham,"Habersham, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Habersham,"Habersham, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Habersham,"Habersham, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Habersham,"Habersham, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Hall,"Hall, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Hall,"Hall, GA"
Kaiser Foundation Health Plan of Georgia,GA,Hall,"Hall, GA"
Aetna Health Inc. (a GA corp.),GA,Hall,"Hall, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Hall,"Hall, GA"
Alliant Health Plans,GA,Hall,"Hall, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Hancock,"Hancock, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Hancock,"Hancock, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Hancock,"Hancock, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Haralson,"Haralson, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Haralson,"Haralson, GA"
Kaiser Foundation Health Plan of Georgia,GA,Haralson,"Haralson, GA"
Alliant Health Plans,GA,Haralson,"Haralson, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Haralson,"Haralson, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Harris,"Harris, GA"
Ambetter of Peach State Inc.,GA,Harris,"Harris, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Harris,"Harris, GA"
Aetna Health Inc. (a GA corp.),GA,Harris,"Harris, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Harris,"Harris, GA"
Alliant Health Plans,GA,Hart,"Hart, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Hart,"Hart, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Hart,"Hart, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Hart,"Hart, GA"
Kaiser Foundation Health Plan of Georgia,GA,Heard,"Heard, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Heard,"Heard, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Heard,"Heard, GA"
Alliant Health Plans,GA,Heard,"Heard, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Heard,"Heard, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Henry,"Henry, GA"
Ambetter of Peach State Inc.,GA,Henry,"Henry, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Henry,"Henry, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Henry,"Henry, GA"
Kaiser Foundation Health Plan of Georgia,GA,Henry,"Henry, GA"
Aetna Health Inc. (a GA corp.),GA,Houston,"Houston, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Houston,"Houston, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Houston,"Houston, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Houston,"Houston, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Irwin,"Irwin, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Irwin,"Irwin, GA"
Aetna Health Inc. (a GA corp.),GA,Jackson,"Jackson, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Jackson,"Jackson, GA"
Alliant Health Plans,GA,Jackson,"Jackson, GA"
Ambetter of Peach State Inc.,GA,Jackson,"Jackson, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Jackson,"Jackson, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Jackson,"Jackson, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Jasper,"Jasper, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Jasper,"Jasper, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Jeff Davis,"Jeff Davis, GA"
Aetna Health Inc. (a GA corp.),GA,Jeff Davis,"Jeff Davis, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Jeff Davis,"Jeff Davis, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Jeff Davis,"Jeff Davis, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Jefferson,"Jefferson, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Jefferson,"Jefferson, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Jefferson,"Jefferson, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Jenkins,"Jenkins, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Jenkins,"Jenkins, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Jenkins,"Jenkins, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Johnson,"Johnson, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Johnson,"Johnson, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Johnson,"Johnson, GA"
Aetna Health Inc. (a GA corp.),GA,Jones,"Jones, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Jones,"Jones, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Jones,"Jones, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Jones,"Jones, GA"
Kaiser Foundation Health Plan of Georgia,GA,Lamar,"Lamar, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Lamar,"Lamar, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Lamar,"Lamar, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Lamar,"Lamar, GA"
Aetna Health Inc. (a GA corp.),GA,Lanier,"Lanier, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Lanier,"Lanier, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Lanier,"Lanier, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Laurens,"Laurens, GA"
Cigna Health and Life Insurance Company,GA,Laurens,"Laurens, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Laurens,"Laurens, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Laurens,"Laurens, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Lee,"Lee, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Lee,"Lee, GA"
Aetna Health Inc. (a GA corp.),GA,Lee,"Lee, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Liberty,"Liberty, GA"
Aetna Health Inc. (a GA corp.),GA,Liberty,"Liberty, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Liberty,"Liberty, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Liberty,"Liberty, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Lincoln,"Lincoln, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Lincoln,"Lincoln, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Lincoln,"Lincoln, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Long,"Long, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Long,"Long, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Long,"Long, GA"
Aetna Health Inc. (a GA corp.),GA,Long,"Long, GA"
Aetna Health Inc. (a GA corp.),GA,Lowndes,"Lowndes, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Lowndes,"Lowndes, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Lowndes,"Lowndes, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Lumpkin,"Lumpkin, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Lumpkin,"Lumpkin, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Lumpkin,"Lumpkin, GA"
Alliant Health Plans,GA,Lumpkin,"Lumpkin, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Macon,"Macon, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Macon,"Macon, GA"
Aetna Health Inc. (a GA corp.),GA,Madison,"Madison, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Madison,"Madison, GA"
Ambetter of Peach State Inc.,GA,Madison,"Madison, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Madison,"Madison, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Madison,"Madison, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Marion,"Marion, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Marion,"Marion, GA"
Ambetter of Peach State Inc.,GA,Marion,"Marion, GA"
Aetna Health Inc. (a GA corp.),GA,Marion,"Marion, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Marion,"Marion, GA"
Aetna Health Inc. (a GA corp.),GA,McDuffie,"McDuffie, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,McDuffie,"McDuffie, GA"
"UnitedHealthcare of Georgia, Inc.",GA,McDuffie,"McDuffie, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,McDuffie,"McDuffie, GA"
Aetna Health Inc. (a GA corp.),GA,McIntosh,"McIntosh, GA"
"UnitedHealthcare of Georgia, Inc.",GA,McIntosh,"McIntosh, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,McIntosh,"McIntosh, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,McIntosh,"McIntosh, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Meriwether,"Meriwether, GA"
Kaiser Foundation Health Plan of Georgia,GA,Meriwether,"Meriwether, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Meriwether,"Meriwether, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Miller,"Miller, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Miller,"Miller, GA"
"UnitedHealthcare of Georgia, Inc.",GA,Mitchell,"Mitchell, GA"
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,Mitchell,"Mitchell, GA"
"Humana Employers Health Plan of Georgia, Inc.",GA,Monroe,"Monroe, GA"
Aetna Health Inc. (a GA corp.),GA,Monroe,"Monroe, GA"
